landkreis;;;
Ahrweiler;;;
Aichach-Friedberg;;;
Schwabach;;;
Schwandorf;;;
Schweinfurt;;;
Schwerin;;;
Schwäbisch Hall;Hall;;
Segeberg;;;
Siegen-Wittgenstein;;;
Sigmaringen;;;
Soest;;;
Solingen;;;
Sonneberg;;;
Speyer;;;
Spree-Neiße;;;
St. Wendel;Wendel;;
Stade;;;
Starnberg;;;
Steinburg;;;
Steinfurt;;;
Stendal;;;
Stormarn;;;
Straubing;;;
Straubing-Bogen;;;
Stuttgart;;;
Suhl;;;
Sächsische Schweiz-Osterzgebirge;Schweiz-Osterzgebirge;;
Sömmerda;;;
Südliche Weinstraße;Weinstraße;;
Südwestpfalz;;;
Teltow-Fläming;;;
Tirschenreuth;;;
Traunstein;;;
Trier;;;
Trier-Saarburg;;;
Tuttlingen;;;
Tübingen;;;
Uckermark;;;
Uelzen;;;
Ulm;;;
Unna;;;
Unterallgäu;;;
Vechta;;;
Verden;;;
Viersen;;;
Vorpommern-Greifswald;;;
Vorpommern-Rügen;;;
Vulkaneifel;;;
Waldeck-Frankenberg;;;
Waldshut;;;
Warendorf;;;
Weiden i.d.OPf.;i.d.OPf.;;
Weilheim-Schongau;;;
Weimar;;;
Weimarer Land;Land;;
Weißenburg-Gunzenhausen;;;
Wesel;;;
Wesermarsch;;;
Wiesbaden;;;
Wilhelmshaven;;;
Wittenberg;;;
Wittmund;;;
Wolfenbüttel;;;
Wolfsburg;;;
Worms;;;
Wunsiedel i.Fichtelgebirge;i.Fichtelgebirge;;
Wuppertal;;;
Würzburg;;;
Zweibrücken;;;
Zwickau;;;
